Date,Traffic
2024-09-29,14590
2024-09-30,14700
2024-10-01,14690
2024-10-02,14800
2024-10-03,14790
2024-10-04,14900
2024-10-05,14890
2024-10-06,15000
2024-10-07,14990
2024-10-08,15100
2024-10-09,15090
2024-10-10,15200
2024-10-11,15190
2024-10-12,15300
2024-10-13,15290
2024-10-14,15400
2024-10-15,15390
2024-10-16,15500
2024-10-17,15490
2024-10-18,15600
2024-10-19,15590
2024-10-20,15700
2024-10-21,15690
2024-10-22,15800
2024-10-23,15790
2024-10-24,15900
2024-10-25,15890
2024-10-26,16000
2024-10-27,15990
2024-10-28,16100
2024-10-29,16090
2024-10-30,16200
2024-10-31,16190
2024-11-01,16300
2024-11-02,16290
2024-11-03,16400
2024-11-04,16390
2024-11-05,16500
2024-11-06,16490
2024-11-07,16600
2024-11-08,16590
2024-11-09,16700
2024-11-10,16690
2024-11-11,16800
2024-11-12,16790
2024-11-13,16900
2024-11-14,16890
2024-11-15,17000
2024-11-16,16990
2024-11-17,17100
2024-11-18,17090
2024-11-19,17200
2024-11-20,17190
2024-11-21,17300
2024-11-22,17290
2024-11-23,17400
2024-11-24,17390
2024-11-25,17500
2024-11-26,17490
2024-11-27,17600
2024-11-28,17590
2024-11-29,17700
2024-11-30,17690
2024-12-01,17800
2024-12-02,17790
2024-12-03,17900
2024-12-04,17890
2024-12-05,18000
2024-12-06,17990
2024-12-07,18100
2024-12-08,18090
2024-12-09,18200
2024-12-10,18190
2024-12-11,18300
2024-12-12,18290
2024-12-13,18400
2024-12-14,18390
2024-12-15,18500
2024-12-16,18490
2024-12-17,18600
2024-12-18,18590
2024-12-19,18700
2024-12-20,18690
2024-12-21,18800
2024-12-22,18790
2024-12-23,18900
2024-12-24,18890
2024-12-25,19000
2024-12-26,18990
2024-12-27,19100
2024-12-28,19090
2024-12-29,19200
2024-12-30,19190
2024-12-31,19300
